"nature","section","section2","section3","comite"
"MCF","26","","","Comité MCF 271 (Nancy)
Membres internes

Xavier ANTOINE
Gérôme CANALS (IUT)
El Haj LAAMRI
Jacques LONCHAMP (IUT)
Jean Rodolphe ROCHE (Président)
Jean François SCHEID

Membres externes
Virginie BONNAILLIE
Laura GRIGORI
Emmanuel MAITRE
Hélène MATHIS
Pascal FREDERIC
Claire SCHEID
"
"MCF","27","","","Membres locaux :
    Cyril Nicaud (PR UPE-MLV)
    Jean-Christophe Novelli (PR UPE-MLV, Président)
    Stéphane Vialette (DR CNRS)
    Étienne Duris (McF UPE-MLV)
    Vincent Nozick (McF UPE-MLV)
    Abderrezak Rachedi (McF UPE-MLV) 

Membres extérieurs :
    Laurent Lucas (PR Reims)
    Jean-Charles Faugère (DR INRIA)
    Laurent Viennot (DR INRIA)
    Valentin Féray (CR CNRS)
    Benoît Sagot (CR CNRS)
    Sylvain Schmitz (McF ENS Cachan) 

Comité commun avec le concours 4061."
"PR","26","","","Achille Basile, Universita Federico II, Napoli
Jean-Marc Bonnisseau, Université Paris 1 Panthéon-Sorbonne
Laurence Carassus, Université de Reims
Bernard De Meyer, Université Paris 1 Panthéon-Sorbonne
Pascal Gourdel, Université Paris 1 Panthéon-Sorbonne
Meglena Jeleva, Université Paris-Ouest Nanterre
Elyes Jouini, Université Paris Dauphine
Annie Millet, Université Paris 1 Panthéon-Sorbonne"
"MCF","25","26","","Rang A locaux: 

S. Herrmann
N. Kitanine (président)
P. Schauenburg

Rang A extérieurs:

O. Babelon
P. Dorey
V. Roubtsov

Rang B locaux: 

K. Kozlowski
P. Rossi
E. Wagner

Rang B extérieurs:

G. Rollet
R. Suszek
D. Zvonkine"
"PR","27","","","Bruno ARNALDI, INSA Rennes
Hervé DEBAR, Télécom SudParis
Mireille DUCASSÉ, INSA Rennes
Jean-Louis LANET, Université de Limoges
Renaud LOISON, INSA Rennes
David POINTCHEVAL, ENS Ulm
David SIMPLOT-RYL, Université de Lille 1 et INRIA Lille-Nord Europe
Pascale SÉBILLOT, INSA Rennes

"
"MCF","25","","","http://www.unistra.fr/fileadmin/upload/unistra/recrutement/2013/MCF/compo_cds/25_MCF_0159_4132.pdf"
"MCF","25","","","\N"
"MCF","27","","","\N"
"MCF","26","","","Membres locaux:

 A- Jean-François Coulombel (Président)
 A- Christophe Berthon
 A- François Jauberteau

 B- Hélène Mathis
 B- Rodolphe Turpault
 B- Eric Paturel

Membres extérieurs:

 A- Stéphanie Salmon (Reims)
 A- Mazen Saad (ECN)
 A- Erwan Faou (Inria Rennes)

 B- Marie-Hélène Vignal (Toulouse)
 B- Adel Blouza (Rouen)
 B- Pascal Noble (Lyon 1)"
"MCF","26","","","\N"
"MCF","25","","","\N"
"MCF","26","","","I. Catto
F. Coquel
A.-L. Dalibard
J. Dolbeault
S. Ervedoza
J. Féjoz
G. Peyré
F. Rousset"
"MCF","26","","","\N"
"MCF","27","","","Membres locaux :
    Cyril Nicaud (PR UPE-MLV)
    Jean-Christophe Novelli (PR UPE-MLV, Président)
    Stéphane Vialette (DR CNRS)
    Étienne Duris (McF UPE-MLV)
    Vincent Nozick (McF UPE-MLV)
    Abderrezak Rachedi (McF UPE-MLV) 

Membres extérieurs :
    Laurent Lucas (PR Reims)
    Jean-Charles Faugère (DR INRIA)
    Laurent Viennot (DR INRIA)
    Valentin Féray (CR CNRS)
    Benoît Sagot (CR CNRS)
    Sylvain Schmitz (McF ENS Cachan) 

Comité commun avec le concours 4062."
"MCF","26","","","\N"
